ProductID,ProductName,Category,SubCategory,Brand,CostPrice
1714,Boat Accessories Model-1714,Electronics,Accessories,Boat,11318.23
2112,Logitech Accessories,Electronics,,Logitech,
1449,Yonex Indoor Model-1449,Sports,Indoor,Yonex,29323.1
1472,@@@@,Home,Furniture,INVALID_BRAND,2375.55
1139,Samsung Smartphones Model-1139,Electronics,Smartphones,Samsung,31540.97
945,Asus Laptops Model-945,Electronics,Laptops,Asus,42455.14
INVALID,12345,Sports,Fitness,Nike,1252.8
12,Carter Kids Model-12,Fashion,Kids,Carter,17762.11
572,Nike Fitness Model-572,Sports,Fitness,Nike,36726.6
2075,Apple Smartphones Model-2075,Electronics,Smartphones,Apple,22575.35
1767,Asus Laptops Model-1767,Electronics,Laptops,Asus,35034.12
1035,Sony Accessories Model-1035,Electronics,Accessories,Sony,47508.22
1851,Nike Fitness Model-1851,Sports,Fitness,Nike,3700.82
1105,Wildcraft Outdoor Model-1105,Sports,Outdoor,Wildcraft,35337.37
1607,Boat Accessories Model-1607,Electronics,Accessories,Boat,33735.89
244,Quechua Outdoor Model-244,Sports,Outdoor,Quechua,34952.87
1483,Duroflex Decor Model-1483,Home,Decor,Duroflex,7276.47
1539,Wildcraft Outdoor Model-1539,Sports,Outdoor,Wildcraft,22592.64
1294,Sony Accessories Model-1294,Electronics,Accessories,Sony,27946.32
2293,Asus Laptops,Electronics,@@@,Asus,8294.82
541,Logitech Accessories Model-541,Electronics,Accessories,Logitech,1713.32
477,HomeCentre Decor Model-477,Home,Decor,HomeCentre,12663.93
793,HP Laptops Model-793,Electronics,Laptops,HP,26832.28
1619,Carter Kids Model-1619,Fashion,Kids,Carter,46893.59
2003,Sony Accessories Model-2003,Electronics,Accessories,Sony,2814.09
2286,,,Indoor,Cosco,29793.13
2223,Samsung Smartphones,Electronics,Smartphones,,2818.59
869,HomeCentre Decor Model-869,Home,Decor,HomeCentre,44281.35
1691,Lenovo Laptops Model-1691,Electronics,Laptops,Lenovo,9602.62
784,Godrej Furniture Model-784,Home,Furniture,Godrej,11587.75
1331,Logitech Accessories Model-1331,Electronics,Accessories,Logitech,1715.88
128,Carter Kids Model-128,Fashion,Kids,Carter,13160.95
643,Boat Accessories Model-643,Electronics,Accessories,Boat,22443.96
1559,Nike Men Model-1559,Fashion,Men,Nike,314.88
699,Pigeon Kitchen,123,@@@,Pigeon,33057.19
INVALID,Ikea Furniture,123,Furniture,Ikea,9390.05
1727,Sony Accessories Model-1727,Electronics,Accessories,Sony,39681.62
ABC123,Google Smartphones,Electronics,Smartphones,Google,FREE
ABC123,Prestige Kitchen,Home,999,Prestige,36989.12
1536,Ikea Furniture Model-1536,Home,Furniture,Ikea,27044.7
1017,HomeCentre Decor Model-1017,Home,Decor,HomeCentre,2948.1
1651,Yonex Indoor Model-1651,Sports,Indoor,Yonex,43951.48
117,Lenovo Laptops Model-117,Electronics,Laptops,Lenovo,33499.81
2464,Nike Men,Fashion,Men,Nike,PRICE
1931,Logitech Accessories Model-1931,Electronics,Accessories,Logitech,16493.22
756,Samsung Smartphones Model-756,Electronics,Smartphones,Samsung,11149.6
1842,HomeCentre Decor Model-1842,Home,Decor,HomeCentre,37268.83
1330,Puma Men Model-1330,Fashion,Men,Puma,28554.23
475,Quechua Outdoor Model-475,Sports,Outdoor,Quechua,15219.35
1705,Lenovo Laptops Model-1705,Electronics,Laptops,Lenovo,10979.29
1974,Adidas Men Model-1974,Fashion,Men,Adidas,9326.37
294,Wildcraft Outdoor Model-294,Sports,Outdoor,Wildcraft,14015.65
1252,Dell Laptops Model-1252,Electronics,Laptops,Dell,8319.3
2186,Wildcraft Outdoor,Sports,Outdoor,,33422.14
764,12345,Home,Kitchen,INVALID_BRAND,41345.46
1009,Prestige Kitchen Model-1009,Home,Kitchen,Prestige,7051.73
297,Pigeon Kitchen Model-297,Home,Kitchen,Pigeon,12730.03
2133,Quechua Outdoor,Sports,Outdoor,Quechua,
2334,OnePlus Smartphones,Electronics,Smartphones,,
1287,Quechua Outdoor Model-1287,Sports,Outdoor,Quechua,23423.16
2080,HomeCentre Decor Model-2080,Home,Decor,HomeCentre,16843.71
593,Nike Fitness Model-593,Sports,Fitness,Nike,11557.55
2116,12345,Fashion,Kids,Hopscotch,6193.63
821,Carter Kids Model-821,Fashion,Kids,Carter,6124.79
137,Sony Accessories Model-137,Electronics,Accessories,Sony,20572.76
1616,Carter Kids Model-1616,Fashion,Kids,Carter,35067.88
1679,Ikea Furniture Model-1679,Home,Furniture,Ikea,10012.06
326,Puma Men Model-326,Fashion,Men,Puma,26908.39
1089,HomeCentre Decor Model-1089,Home,Decor,HomeCentre,24868.22
1846,Duroflex Decor Model-1846,Home,Decor,Duroflex,16332.13
1425,Google Smartphones Model-1425,Electronics,Smartphones,Google,42006.82
59,Duroflex Decor Model-59,Home,Decor,Duroflex,28799.91
826,Quechua Outdoor Model-826,Sports,Outdoor,Quechua,31838.58
1034,Dell Laptops Model-1034,Electronics,Laptops,Dell,14438.42
578,Yonex Indoor Model-578,Sports,Indoor,Yonex,40536.98
335,Quechua Outdoor Model-335,Sports,Outdoor,Quechua,12074.2
2148,NULL,Fashion,Women,Zara,PRICE
1928,Yonex Indoor Model-1928,Sports,Indoor,Yonex,43755.8
1092,Carter Kids Model-1092,Fashion,Kids,Carter,3668.19
1545,Duroflex Decor Model-1545,Home,Decor,Duroflex,17433.66
1394,Prestige Kitchen Model-1394,Home,Kitchen,Prestige,7085.54
1321,Adidas Men Model-1321,Fashion,Men,Adidas,44180.64
675,H&M Women Model-675,Fashion,Women,H&M,32726.6
193,Sony Accessories Model-193,Electronics,Accessories,Sony,49490.75
414,Nike Fitness Model-414,Sports,Fitness,Nike,21813.31
1104,Asus Laptops Model-1104,Electronics,Laptops,Asus,9397.34
62,HomeCentre Decor Model-62,Home,Decor,HomeCentre,6066.63
2092,Duroflex Decor Model-2092,Home,Decor,Duroflex,43953.82
1761,Pigeon Kitchen Model-1761,Home,Kitchen,Pigeon,32292.24
1006,Puma Men Model-1006,Fashion,Men,Puma,48198.18
936,Hopscotch Kids Model-936,Fashion,Kids,Hopscotch,14174.9
146,Ikea Furniture Model-146,Home,Furniture,Ikea,5178.33
1557,Google Smartphones Model-1557,Electronics,Smartphones,Google,4167.32
1414,Godrej Furniture Model-1414,Home,Furniture,Godrej,46505.71
294,Wildcraft Outdoor Model-294,Sports,Outdoor,Wildcraft,14015.65
275,Lenovo Laptops Model-275,Electronics,Laptops,Lenovo,22544.05
1979,Ikea Furniture Model-1979,Home,Furniture,Ikea,33355.95
1007,H&M Women Model-1007,Fashion,Women,H&M,14642.32
789,Ikea Furniture Model-789,Home,Furniture,Ikea,2792.98
2261,,Home,Decor,,12027.37
3062,Adidas Men,Fashion,INVALID_SUB,INVALID_BRAND,49874.11
1237,Logitech Accessories Model-1237,Electronics,Accessories,Logitech,29935.7
464,Ikea Furniture Model-464,Home,Furniture,Ikea,43531.53
2341,Boat Accessories,,Accessories,Boat,
139,Yonex Indoor Model-139,Sports,Indoor,Yonex,30955.1
2021,Pigeon Kitchen Model-2021,Home,Kitchen,Pigeon,6422.98
2154,Logitech Accessories,Electronics,Accessories,,604.21
678,Wildcraft Outdoor Model-678,Sports,Outdoor,Wildcraft,40156.34
857,Carter Kids Model-857,Fashion,Kids,Carter,43998.1
1495,Ikea Furniture Model-1495,Home,Furniture,Ikea,1050.09
1192,Yonex Indoor Model-1192,Sports,Indoor,Yonex,5515.54
987,Hopscotch Kids Model-987,Fashion,Kids,Hopscotch,12996.94
544,Lenovo Laptops Model-544,Electronics,Laptops,Lenovo,35810.82
989,Hopscotch Kids Model-989,Fashion,Kids,Hopscotch,28015.61
607,Reebok Fitness Model-607,Sports,Fitness,Reebok,3069.75
798,Carter Kids Model-798,Fashion,Kids,Carter,9195.5
1185,Yonex Indoor Model-1185,Sports,Indoor,Yonex,18306.93
520,Wildcraft Outdoor Model-520,Sports,Outdoor,Wildcraft,16912.04
1762,Quechua Outdoor Model-1762,Sports,Outdoor,Quechua,6029.5
1443,Apple Smartphones Model-1443,Electronics,Smartphones,Apple,12416.46
1813,Quechua Outdoor Model-1813,Sports,Outdoor,Quechua,21406.21
2177,,Home,Decor,Duroflex,13321.49
2266,H&M Women,Fashion,Women,,10025.69
214,OnePlus Smartphones Model-214,Electronics,Smartphones,OnePlus,49614.15
604,Pigeon Kitchen Model-604,Home,Kitchen,Pigeon,19049.58
890,Carter Kids Model-890,Fashion,Kids,Carter,29981.72
232,Nike Men Model-232,Fashion,Men,Nike,46157.12
702,Quechua Outdoor Model-702,Sports,Outdoor,Quechua,38730.47
1009,Prestige Kitchen Model-1009,Home,Kitchen,Prestige,7051.73
2088,Yonex Indoor Model-2088,Sports,Indoor,Yonex,43911.5
243,Pigeon Kitchen Model-243,Home,Kitchen,Pigeon,43439.83
344,Nike Fitness Model-344,Sports,Fitness,Nike,34049.9
1753,Puma Men Model-1753,Fashion,Men,Puma,8479.82
2339,Hopscotch Kids,Fashion,,Hopscotch,
68,Reebok Fitness Model-68,Sports,Fitness,Reebok,26066.35
71,HomeCentre Decor Model-71,Home,Decor,HomeCentre,25611.5
1509,Duroflex Decor Model-1509,Home,Decor,Duroflex,4965.44
ABC123,Reebok Fitness,123,Fitness,Reebok,28694.97
205,Quechua Outdoor Model-205,Sports,Outdoor,Quechua,40226.74
2135,,,Smartphones,Samsung,23490.89
3,Cosco Indoor Model-3,Sports,Indoor,Cosco,34528.28
2150,,Electronics,Laptops,Lenovo,
1599,Asus Laptops Model-1599,Electronics,Laptops,Asus,30597.14
665,H&M Women,UNKNOWN_CATEGORY,999,H&M,1434.6
1684,HP Laptops Model-1684,Electronics,Laptops,HP,25054.02
1921,Levis Women Model-1921,Fashion,Women,Levis,8476.32
3075,Cosco Indoor,123,@@@,Cosco,24390.52
333,Puma Men Model-333,Fashion,Men,Puma,4674.41
1527,Yonex Indoor Model-1527,Sports,Indoor,Yonex,42852.47
1633,Hopscotch Kids Model-1633,Fashion,Kids,Hopscotch,7472.22
1246,Cosco Indoor Model-1246,Sports,Indoor,Cosco,45841.37
917,Lenovo Laptops Model-917,Electronics,Laptops,Lenovo,43592.98
200,Apple Smartphones Model-200,Electronics,Smartphones,Apple,19322.08
1692,Cosco Indoor Model-1692,Sports,Indoor,Cosco,11006.95
2153,Puma Men,Fashion,,,24664.21
1426,Wildcraft Outdoor Model-1426,Sports,Outdoor,Wildcraft,28639.47
1080,HomeCentre Decor Model-1080,Home,Decor,HomeCentre,43446.32
974,Quechua Outdoor Model-974,Sports,Outdoor,Quechua,22010.9
365,Prestige Kitchen Model-365,Home,Kitchen,Prestige,23180.4
1453,Cosco Indoor Model-1453,Sports,Indoor,Cosco,21701.38
1205,HomeCentre Decor Model-1205,Home,Decor,HomeCentre,32640.63
707,Logitech Accessories Model-707,Electronics,Accessories,Logitech,38027.96
1368,HomeCentre Decor Model-1368,Home,Decor,HomeCentre,44619.63
2,Adidas Men Model-2,Fashion,Men,Adidas,24825.6
1067,Dell Laptops Model-1067,Electronics,Laptops,Dell,32715.27
3793,@@@@,Electronics,Smartphones,OnePlus,18811.38
2289,Adidas Men,Fashion,Men,Adidas,
2260,,Fashion,Kids,Carter,19770.47
1072,Dell Laptops Model-1072,Electronics,Laptops,Dell,39542.97
1685,Adidas Men Model-1685,Fashion,Men,Adidas,23773.43
1218,Prestige Kitchen Model-1218,Home,Kitchen,Prestige,25093.06
2740,NULL,Electronics,Smartphones,Google,49218.42
1583,Godrej Furniture Model-1583,Home,Furniture,Godrej,35817.22
1836,HP Laptops Model-1836,Electronics,Laptops,HP,973.14
261,Sony Accessories Model-261,Electronics,Accessories,Sony,7676.83
1632,Cosco Indoor Model-1632,Sports,Indoor,Cosco,17532.34
1186,H&M Women Model-1186,Fashion,Women,H&M,49412.56
2001,Apple Smartphones Model-2001,Electronics,Smartphones,Apple,42371.6
1922,Sony Accessories Model-1922,Electronics,Accessories,Sony,48705.27
534,Puma Men Model-534,Fashion,Men,Puma,44880.7
185,Puma Men Model-185,Fashion,Men,Puma,3130.39
146,Ikea Furniture Model-146,Home,Furniture,Ikea,5178.33
135,Levis Women Model-135,Fashion,Women,Levis,14320.25
937,Godrej Furniture Model-937,Home,Furniture,Godrej,11834.74
194,Quechua Outdoor Model-194,Sports,Outdoor,Quechua,4880.64
965,H&M Women Model-965,Fashion,Women,H&M,35254.19
3558,Sony Accessories,UNKNOWN_CATEGORY,Accessories,INVALID_BRAND,13846.97
219,Hopscotch Kids Model-219,Fashion,Kids,Hopscotch,38317.35
2048,Nike Men Model-2048,Fashion,Men,Nike,33937.01
2332,H&M Women,Fashion,Women,,8361.51
2624,Ikea Furniture,Home,999,Ikea,12149.92
1664,Godrej Furniture Model-1664,Home,Furniture,Godrej,35754.2
615,Zara Women Model-615,Fashion,Women,Zara,38215.28
1621,Godrej Furniture Model-1621,Home,Furniture,Godrej,10006.33
687,Carter Kids Model-687,Fashion,Kids,Carter,35036.68
172,Boat Accessories Model-172,Electronics,Accessories,Boat,5077.08
1791,HP Laptops Model-1791,Electronics,Laptops,HP,40551.61
3925,Puma Men,Fashion,INVALID_SUB,Puma,15020.77
202,Zara Women Model-202,Fashion,Women,Zara,35425.92
1250,Quechua Outdoor Model-1250,Sports,Outdoor,Quechua,34162.35
462,Nike Fitness Model-462,Sports,Fitness,Nike,47994.65
285,Lenovo Laptops Model-285,Electronics,Laptops,Lenovo,32078.76
1311,HomeCentre Decor Model-1311,Home,Decor,HomeCentre,27688.71
1882,Cosco Indoor Model-1882,Sports,Indoor,Cosco,47338.96
ABC123,Godrej Furniture,Home,Furniture,Godrej,44775.95
441,Pigeon Kitchen Model-441,Home,Kitchen,Pigeon,9479.55
85,Zara Women Model-85,Fashion,Women,Zara,8727.55
1271,Pigeon Kitchen Model-1271,Home,Kitchen,Pigeon,37806.57
2159,,Home,Furniture,Godrej,2616.31
808,Godrej Furniture Model-808,Home,Furniture,Godrej,36377.62
2304,,Electronics,Smartphones,Google,
160,Yonex Indoor Model-160,Sports,Indoor,Yonex,1068.1
INVALID,Sony Accessories,Electronics,Accessories,Sony,111.92
555,HomeCentre Decor Model-555,Home,Decor,HomeCentre,13109.25
686,Carter Kids Model-686,Fashion,Kids,Carter,43184.02
2254,,Electronics,,Boat,8950.46
1303,Samsung Smartphones Model-1303,Electronics,Smartphones,Samsung,9866.2
944,Pigeon Kitchen Model-944,Home,Kitchen,Pigeon,2850.84
1491,Cosco Indoor Model-1491,Sports,Indoor,Cosco,23550.53
696,Google Smartphones Model-696,Electronics,Smartphones,Google,37307.76
1024,Dell Laptops Model-1024,Electronics,Laptops,Dell,867.79
1734,Pigeon Kitchen Model-1734,Home,Kitchen,Pigeon,15133.23
1486,OnePlus Smartphones Model-1486,Electronics,Smartphones,OnePlus,31902.11
997,Lenovo Laptops Model-997,Electronics,Laptops,Lenovo,34173.8
1881,Boat Accessories Model-1881,Electronics,Accessories,Boat,32062.45
1093,Duroflex Decor Model-1093,Home,Decor,Duroflex,33401.59
2234,,Electronics,Smartphones,Apple,2800.85
1855,H&M Women Model-1855,Fashion,Women,H&M,18575.19
2130,Duroflex Decor,Home,Decor,,34291.44
1703,H&M Women Model-1703,Fashion,Women,H&M,31724.3
1540,Quechua Outdoor Model-1540,Sports,Outdoor,Quechua,18420.58
1736,Godrej Furniture Model-1736,Home,Furniture,Godrej,3414.97
974,Quechua Outdoor Model-974,Sports,Outdoor,Quechua,22010.9
995,@@@@,###,Decor,Duroflex,25616.09
1643,Yonex Indoor Model-1643,Sports,Indoor,Yonex,37084.66
1889,Reebok Fitness Model-1889,Sports,Fitness,Reebok,10896.38
1694,Carter Kids Model-1694,Fashion,Kids,Carter,12077.02
1136,HP Laptops Model-1136,Electronics,Laptops,HP,14728.9
INVALID,Pigeon Kitchen,Home,@@@,Pigeon,6029.1
1852,OnePlus Smartphones Model-1852,Electronics,Smartphones,OnePlus,49219.43
493,H&M Women Model-493,Fashion,Women,H&M,2953.96
385,Carter Kids Model-385,Fashion,Kids,Carter,506.12
2163,Quechua Outdoor,Sports,,Quechua,
680,Cosco Indoor Model-680,Sports,Indoor,Cosco,10321.63
1153,Wildcraft Outdoor Model-1153,Sports,Outdoor,Wildcraft,24084.17
1013,Nike Men Model-1013,Fashion,Men,Nike,10688.72
182,Duroflex Decor Model-182,Home,Decor,Duroflex,5652.49
284,Google Smartphones Model-284,Electronics,Smartphones,Google,43250.9
145,Reebok Fitness Model-145,Sports,Fitness,Reebok,8598.28
1422,Reebok Fitness Model-1422,Sports,Fitness,Reebok,29800.79
2005,Reebok Fitness Model-2005,Sports,Fitness,Reebok,47618.67
544,Lenovo Laptops Model-544,Electronics,Laptops,Lenovo,35810.82
PROD###,NULL,Fashion,Kids,Carter,46954.62
1210,Boat Accessories Model-1210,Electronics,Accessories,Boat,24304.74
1561,Puma Men Model-1561,Fashion,Men,Puma,47279.08
683,Levis Women Model-683,Fashion,Women,Levis,34048.6
2155,Yonex Indoor,Sports,Indoor,Yonex,FREE
1552,Levis Women Model-1552,Fashion,Women,Levis,4475.3
ABC123,Google Smartphones,Electronics,999,Google,34573.39
3395,HP Laptops,###,Laptops,HP,25387.81
2382,Hopscotch Kids,Fashion,,Hopscotch,41251.25
1568,Pigeon Kitchen Model-1568,Home,Kitchen,Pigeon,48938.41
1773,Hopscotch Kids Model-1773,Fashion,Kids,Hopscotch,35762.56
2010,Yonex Indoor Model-2010,Sports,Indoor,Yonex,31217.77
1554,Duroflex Decor Model-1554,Home,Decor,Duroflex,32827.3
510,Duroflex Decor Model-510,Home,Decor,Duroflex,41375.29
1348,Godrej Furniture Model-1348,Home,Furniture,Godrej,11617.52
953,Lenovo Laptops Model-953,Electronics,Laptops,Lenovo,132.15
1467,Duroflex Decor Model-1467,Home,Decor,Duroflex,20563.71
1224,Zara Women Model-1224,Fashion,Women,Zara,35918.03
1496,Reebok Fitness Model-1496,Sports,Fitness,Reebok,42415.06
693,Boat Accessories Model-693,Electronics,Accessories,Boat,47672.06
1062,Hopscotch Kids Model-1062,Fashion,Kids,Hopscotch,26471.26
2054,Zara Women Model-2054,Fashion,Women,Zara,46928.82
890,12345,###,Laptops,HP,1343.92
1410,Levis Women Model-1410,Fashion,Women,Levis,39806.72
1401,Levis Women Model-1401,Fashion,Women,Levis,28973.38
2307,,,Kids,Carter,32326.48
635,HomeCentre Decor Model-635,Home,Decor,HomeCentre,17494.21
PROD###,Sony Accessories,Electronics,999,Sony,23334.26
694,Apple Smartphones Model-694,Electronics,Smartphones,Apple,16243.92
946,Sony Accessories Model-946,Electronics,Accessories,Sony,7591.69
902,HP Laptops Model-902,Electronics,Laptops,HP,22294.78
794,Quechua Outdoor Model-794,Sports,Outdoor,Quechua,21887.25
361,Pigeon Kitchen Model-361,Home,Kitchen,Pigeon,33502.5
1381,Pigeon Kitchen Model-1381,Home,Kitchen,Pigeon,5855.87
2122,,Electronics,Smartphones,Apple,37693.13
2246,,Fashion,Men,Nike,
1725,Puma Men Model-1725,Fashion,Men,Puma,47970.92
996,Logitech Accessories Model-996,Electronics,Accessories,Logitech,35670.12
1446,Adidas Men Model-1446,Fashion,Men,Adidas,37199.64
ABC123,HomeCentre Decor,Home,Decor,HomeCentre,32739.71
1461,Adidas Men Model-1461,Fashion,Men,Adidas,17821.55
1690,Reebok Fitness Model-1690,Sports,Fitness,Reebok,40114.22
2033,Duroflex Decor Model-2033,Home,Decor,Duroflex,19376.47
1358,Sony Accessories Model-1358,Electronics,Accessories,Sony,35553.92
416,Reebok Fitness Model-416,Sports,Fitness,Reebok,15454.73
2385,Carter Kids,Fashion,Kids,Carter,
75,Ikea Furniture Model-75,Home,Furniture,Ikea,7042.51
1618,Logitech Accessories Model-1618,Electronics,Accessories,Logitech,25737.19
1548,Logitech Accessories,Electronics,Accessories,###,16578.36
2277,HomeCentre Decor,Home,,HomeCentre,28660.83
855,Adidas Men Model-855,Fashion,Men,Adidas,42745.77
120,Prestige Kitchen Model-120,Home,Kitchen,Prestige,43038.85
2494,Godrej Furniture,Home,@@@,Godrej,26187.61
1181,Nike Men Model-1181,Fashion,Men,Nike,12800.18
2948,@@@@,Fashion,Men,Adidas,12984.48
954,Levis Women Model-954,Fashion,Women,Levis,29948.9
2237,,Fashion,,Puma,30705.83
1207,H&M Women Model-1207,Fashion,Women,H&M,24477.22
2025,Yonex Indoor Model-2025,Sports,Indoor,Yonex,19582.55
2206,,Sports,Indoor,Cosco,28408.46
1020,HomeCentre Decor Model-1020,Home,Decor,HomeCentre,31942.2
2165,HP Laptops,,Laptops,HP,10317.45
144,Cosco Indoor Model-144,Sports,Indoor,Cosco,8704.05
94,Boat Accessories Model-94,Electronics,Accessories,Boat,3647.94
1934,Zara Women Model-1934,Fashion,Women,Zara,47147.64
2062,Prestige Kitchen Model-2062,Home,Kitchen,Prestige,3531.32
1565,Adidas Men Model-1565,Fashion,Men,Adidas,46620.23
223,Duroflex Decor Model-223,Home,Decor,Duroflex,42859.42
236,Wildcraft Outdoor Model-236,Sports,Outdoor,Wildcraft,21780.82
1362,Yonex Indoor Model-1362,Sports,Indoor,Yonex,36074.52
